name,iata,icao,lat,lon,ico,alt
"Chicago Midway International Airport",MDW,KMDW,41.785969,-87.752403,US,619
"Chicago O'Hare International Airport",ORD,KORD,41.978142,-87.9058,US,672
"Chicago Rockford International Airport",RFD,KRFD,42.195278,-89.097221,US,742
"Chicago Waukegan National Airport",UGN,KUGN,42.422161,-87.867897,US,727
"Chichester Goodwood Airport",QUG,EGHR,50.859402,-0.759167,GB,98
"Chiclayo International Airport",CIX,SPHI,-6.78747,-79.828003,PE,97
"Chico Municipal Airport",CIC,KCIC,39.79538,-121.858002,US,240
"Chifeng Yulong Airport",CIF,ZBCF,42.154861,118.834618,CN,2018
"Chihuahua International Airport",CUU,MMCU,28.702869,-105.963997,MX,4462
"Childress Municipal Airport",CDS,KCDS,34.433781,-100.287003,US,1954
"Chilliwack Airport",YCW,CYCW,49.152771,-121.938004,CA,32
"Chimoio Airport",VPY,FQCH,-19.133333,33.483334,MZ,2287
"Chimore Airport",CCA,SLCH,-16.98975,-65.141502,BO,796
"Chinchilla Airport",CCL,YCCA,-26.775,150.617004,AU,1028
"Chino Airport",CNO,KCNO,33.974701,-117.637001,US,650
"Chios Island National Airport",JKH,LGHI,38.34317,26.14057,GR,15
"Chisinau International Airport",KIV,LUKK,46.927738,28.930969,MD,399
"Chita Kadala Airport",HTA,UIAA,52.02631,113.305496,RU,2272
"Chitral Airport",CJL,OPCH,35.886112,71.794441,PK,4900
"Chitre Alonso Valderrama Airport",CTD,MPCE,7.98784,-80.409698,PA,33
"Chittagong Shah Amanat International Airport",CGP,VGEG,22.249611,91.813278,BD,12
"Chizhou Jiuhuashan Airport",JUH,ZSJH,30.740278,117.686668,CN,65
"Chlef International Airport",CFK,DAOI,36.212223,1.331667,DZ,469
"Chokurdakh Airport",CKH,UESO,70.6231,147.901993,RU,151
"Cholet Le Pontreau Airport",CET,LFOU,47.081902,-0.87721,FR,443
"Chongqing Jiangbei International Airport",CKG,ZUCK,29.71921,106.641602,CN,1365
"Christchurch International Airport",CHC,NZCH,-43.489399,172.534393,NZ,123
"Christmas Creek Mine Airport",CKW,YCHK,-22.355556,119.652222,AU,1454
"Christmas Island Airport",XCH,YPXM,-10.450556,105.690277,CX,916
"Chu Lai International Airport",VCL,VVCA,15.4033,108.706001,VN,10
"Chuathbaluk Airport",CHU,PACH,61.583435,-159.238815,US,243
"Chub Cay International Airport",CCZ,MYBC,25.417101,-77.880798,BS,5
"Chulman Airport",NER,UELL,56.913334,124.911667,RU,2812
"Chumphon Airport",CJM,VTSE,10.71,99.360001,TH,18
"Churchill Airport",YYQ,CYYQ,58.739159,-94.065002,CA,94
"Churchill Falls Airport",ZUM,CZUM,53.562778,-64.109169,CA,1442
"Chuuk International Airport",TKK,PTKK,7.461893,151.843002,FM,10
"Cianorte Airport",GGH,SSCT,-23.691668,-52.642223,BR,1837
"Cienfuegos Jaime Gonzalez Airport",CFG,MUCF,22.15,-80.414101,CU,102
"Cincinnati Municipal Lunken Airport",LUK,KLUK,39.103329,-84.418602,US,483
"Cincinnati Northern Kentucky International Airport",CVG,KCVG,39.048828,-84.667801,US,896
"City of Derry Airport",LDY,EGAE,55.04277,-7.16111,GB,22
"Ciudad Bolivar Tomas de Heres Airport",CBL,SVCB,8.121898,-63.5373,VE,197
"Ciudad Constitucion Airport",CUA,MMDA,25.053801,-111.614998,MX,213
"Ciudad del Carmen International Airport",CME,MMCE,18.65373,-91.799004,MX,10
"Ciudad del Este Guarani International Airport",AGT,SGES,-25.455278,-54.843334,PY,846
"Ciudad Juarez International Airport",CJS,MMCS,31.636129,-106.428001,MX,3904
"Ciudad Obregon International Airport",CEN,MMCN,27.39263,-109.833,MX,205
"Ciudad Real Central Airport",CQM,LERL,38.85638,-3.97,ES,2119
"Ciudad Victoria International Airport",CVM,MMCV,23.703329,-98.956398,MX,761
"Claris Great Barrier Aerodrome",GBZ,NZGB,-36.241402,175.472,NZ,20
